label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,086,54,Z,1,1,1.0,0.25279960549879066,0.2769028440310878
ceiling_growth_gt25,36,012,61,J,4,1,1.0,0.16338130935011372,0.19036900904849716
ceiling_growth_gt25,36,3300,71,J,1,1,0.0,0.2962874822346414,0.28672982151739496
ceiling_growth_gt25,36,031,62,J,4,1,0.0,0.09790003593576349,0.09474197026041628
ceiling_growth_gt25,36,072,81,L,1,1,0.0,0.3223010890040884,0.31190427968137585
ceiling_growth_gt25,36,047,61,Z,4,1,1.0,0.26182029208591245,0.2856325407283024
ceiling_growth_gt25,36,485,52,S,4,1,1.0,0.2627196105285583,0.28650284889860483
ceiling_growth_gt25,36,050,23,J,3,1,0.0,0.19380106818003354,0.18754942081938727
ceiling_growth_gt25,36,014,92,J,2,1,0.0,0.19615009935412675,0.1898226767943162
ceiling_growth_gt25,36,068,54,S,4,1,0.0,0.12436449998253696,0.12035274191858415
ceiling_growth_gt25,36,050,56,J,4,1,0.0,0.1987525979053421,0.19234122377936333
ceiling_growth_gt25,36,013,32,J,2,1,0.0,0.13860018498473856,0.13412921127555344
ceiling_growth_gt25,36,069,61,J,4,1,0.0,0.2764946730953651,0.2675754900922888
ceiling_growth_gt25,36,013,81,Y,2,1,0.0,0.11569756320659083,0.1119653837483137
ceiling_growth_gt25,36,012,44,J,1,1,0.0,0.023588982830703098,0.022828047900680416
ceiling_growth_gt25,36,075,54,R,2,1,0.0,0.26214852382479353,0.2536921198304454
ceiling_growth_gt25,36,097,23,K,3,1,0.0,0.07555429746858108,0.0731170620663688
ceiling_growth_gt25,36,072,54,R,3,1,0.0,0.1681364794584256,0.16271272205654091
ceiling_growth_gt25,36,024,51,L,4,1,0.0,0.07775297281399496,0.07524481240064028
ceiling_growth_gt25,36,014,56,Z,3,1,0.0,0.18987355625928276,0.18374860283156397
ceiling_growth_gt25,36,020,48,J,0,1,0.0,0.13244580601873623,0.12817336066329313
ceiling_growth_gt25,36,068,51,J,1,1,0.0,0.12836540624201667,0.12422458668582258
ceiling_growth_gt25,36,050,54,J,1,1,1.0,0.20102439391569052,0.22679780056357146
ceiling_growth_gt25,36,024,52,J,4,1,0.0,0.0953100957074777,0.09223557649110745
ceiling_growth_gt25,36,047,51,J,0,1,1.0,0.20517518285828662,0.23081469308866448
ceiling_growth_gt25,36,080,49,J,4,1,0.0,0.1327499927797035,0.12846773494810015
ceiling_growth_gt25,36,028,33,J,1,1,0.0,0.0832890025551832,0.08060226053727408
ceiling_growth_gt25,36,075,54,K,3,1,0.0,0.2209084405181823,0.2137823617917893
ceiling_growth_gt25,36,005,42,J,2,1,1.0,0.237408138807097,0.2620078762649326
ceiling_growth_gt25,36,012,54,Y,4,1,0.0,0.2467139251487448,0.23875541143426915
ceiling_growth_gt25,36,015,71,J,2,1,0.0,0.14480822376893965,0.14013699074413513
ceiling_growth_gt25,36,060,33,J,2,1,0.0,0.18430075940592994,0.17835557361864188
ceiling_growth_gt25,36,015,51,Z,3,1,0.0,0.22261522793192481,0.21543409154702403
ceiling_growth_gt25,36,097,56,R,3,1,1.0,0.3669145656257477,0.3873366764120139
ceiling_growth_gt25,36,069,61,S,1,1,0.0,0.2714794971920149,0.26272209405678865
ceiling_growth_gt25,36,072,51,J,4,1,0.0,0.2085272637280663,0.2018005778013545
ceiling_growth_gt25,36,097,31,U,2,1,0.0,0.08593447734499567,0.08316239743064097
ceiling_growth_gt25,36,091,61,M,2,1,0.0,0.1707139744176834,0.16520707201711296
ceiling_growth_gt25,36,072,81,U,4,1,1.0,0.3545591535202174,0.3753798259873072
ceiling_growth_gt25,36,097,81,S,0,1,0.0,0.2084218083517108,0.20169852421133305
ceiling_growth_gt25,36,068,92,J,3,1,0.0,0.12773655923829325,0.12361602506931604
