label,horizon_months,base_fy,n,base_rate
terminated,24,2020,14634,0.013393467268006014
terminated,24,2021,12527,0.013411032170511695
terminated,24,2022,12756,0.01207275007839448
terminated,24,ALL,192377,0.013042099627294324
terminated_default,24,2010,19065,0.0018882769472856019
terminated_default,24,2011,16338,0.001713796058269066
terminated_default,24,2012,16998,0.0018237439698788093
terminated_default,24,2013,14436,0.0010390689941812137
terminated_default,24,2014,14335,0.0011161492849668642
terminated_default,24,2015,13779,0.0011611873140285943
terminated_default,24,2016,14418,0.0007629352198640588
terminated_default,24,2017,13864,0.0012261973456433929
terminated_default,24,2018,14610,0.0004791238877481177
terminated_default,24,2019,14617,0.0011630293493876992
terminated_default,24,2020,14634,0.0006150061500615006
terminated_default,24,2021,12527,0.0005587930071046539
terminated_default,24,2022,12756,0.0008623392913138915
terminated_default,24,ALL,192377,0.0011487859775336968
any_change_order,24,2010,19065,0.23220561237870443
any_change_order,24,2011,16338,0.21049088015668993
any_change_order,24,2012,16998,0.1911989645840687
any_change_order,24,2013,14436,0.17671100027708506
any_change_order,24,2014,14335,0.1771886989884897
any_change_order,24,2015,13779,0.1726540387546266
any_change_order,24,2016,14418,0.17117492023859066
any_change_order,24,2017,13864,0.17195614541257934
any_change_order,24,2018,14610,0.17357973990417522
any_change_order,24,2019,14617,0.18601628241089144
any_change_order,24,2020,14634,0.17459341260079267
any_change_order,24,2021,12527,0.17083100502913706
any_change_order,24,2022,12756,0.1528692380056444
any_change_order,24,ALL,192377,0.18369139762029765
ceiling_growth_gt10,36,2010,19065,0.24096511932861264
ceiling_growth_gt10,36,2011,16338,0.22340555759578895
ceiling_growth_gt10,36,2012,16998,0.2063772208495117
ceiling_growth_gt10,36,2013,14436,0.20843724023275145
ceiling_growth_gt10,36,2014,14335,0.20767352633414718
ceiling_growth_gt10,36,2015,13779,0.21598084040931853
ceiling_growth_gt10,36,2016,14418,0.21348314606741572
ceiling_growth_gt10,36,2017,13864,0.2120600115406809
ceiling_growth_gt10,36,2018,14610,0.20739219712525667
ceiling_growth_gt10,36,2019,14617,0.2053773004036396
ceiling_growth_gt10,36,2020,14634,0.2160038267049337
ceiling_growth_gt10,36,2021,12527,0.21745030733615392
ceiling_growth_gt10,36,2022,12756,0.20445280652242082
ceiling_growth_gt10,36,ALL,192377,0.21445910893713904
ceiling_growth_gt25,36,2010,19065,0.15011801730920535
ceiling_growth_gt25,36,2011,16338,0.14395886889460155
ceiling_growth_gt25,36,2012,16998,0.13242734439345805
ceiling_growth_gt25,36,2013,14436,0.13521751177611527
ceiling_growth_gt25,36,2014,14335,0.13547261946285316
ceiling_growth_gt25,36,2015,13779,0.13629436098410624
ceiling_growth_gt25,36,2016,14418,0.13691219309196836
ceiling_growth_gt25,36,2017,13864,0.13632429313329486
ceiling_growth_gt25,36,2018,14610,0.12874743326488705
ceiling_growth_gt25,36,2019,14617,0.12827529588834918
ceiling_growth_gt25,36,2020,14634,0.13940139401394014
ceiling_growth_gt25,36,2021,12527,0.1321146323940289
ceiling_growth_gt25,36,2022,12756,0.126607086861085
ceiling_growth_gt25,36,ALL,192377,0.13601937861594682
ceiling_growth_gt50,36,2010,19065,0.0985051140833989
ceiling_growth_gt50,36,2011,16338,0.09738034031093157
ceiling_growth_gt50,36,2012,16998,0.08877515001764913
ceiling_growth_gt50,36,2013,14436,0.08845940703796065
ceiling_growth_gt50,36,2014,14335,0.08796651552145099
ceiling_growth_gt50,36,2015,13779,0.08505697075259452
ceiling_growth_gt50,36,2016,14418,0.08662782632820086
ceiling_growth_gt50,36,2017,13864,0.08814195037507212
ceiling_growth_gt50,36,2018,14610,0.08295687885010267
ceiling_growth_gt50,36,2019,14617,0.08243825682424574
ceiling_growth_gt50,36,2020,14634,0.0927292606259396
ceiling_growth_gt50,36,2021,12527,0.08621377823900375
ceiling_growth_gt50,36,2022,12756,0.07768893069927878
ceiling_growth_gt50,36,ALL,192377,0.08838894462435738
schedule_slip_gt90,36,2010,19065,0.44830841856805664
schedule_slip_gt90,36,2011,16338,0.4398947239564206
schedule_slip_gt90,36,2012,16998,0.42528532768561006
schedule_slip_gt90,36,2013,14436,0.41528124134109173
schedule_slip_gt90,36,2014,14335,0.43425183118242067
schedule_slip_gt90,36,2015,13779,0.44560563175847306
schedule_slip_gt90,36,2016,14418,0.4577611319184353
schedule_slip_gt90,36,2017,13864,0.47424985574148876
schedule_slip_gt90,36,2018,14610,0.4676933607118412
schedule_slip_gt90,36,2019,14617,0.4964767052062667
schedule_slip_gt90,36,2020,14634,0.481686483531502
schedule_slip_gt90,36,2021,12527,0.5292568053005509
schedule_slip_gt90,36,2022,12756,0.5000783944810285
schedule_slip_gt90,36,ALL,192377,0.4607931301558918
schedule_slip_gt365,36,2010,19065,0.21883031733543143
schedule_slip_gt365,36,2011,16338,0.2144693352919574
schedule_slip_gt365,36,2012,16998,0.2018472761501353
schedule_slip_gt365,36,2013,14436,0.20594347464671653
schedule_slip_gt365,36,2014,14335,0.2290896407394489
schedule_slip_gt365,36,2015,13779,0.23332607591262067
schedule_slip_gt365,36,2016,14418,0.23789707310306563
schedule_slip_gt365,36,2017,13864,0.258799769186382
schedule_slip_gt365,36,2018,14610,0.2579739904175222
schedule_slip_gt365,36,2019,14617,0.26701785592118765
schedule_slip_gt365,36,2020,14634,0.25912259122591225
schedule_slip_gt365,36,2021,12527,0.3003911551049733
schedule_slip_gt365,36,2022,12756,0.2885700846660395
schedule_slip_gt365,36,ALL,192377,0.24173887730861798
terminated,36,2010,19065,0.015053763440860216
terminated,36,2011,16338,0.01524054351817848
terminated,36,2012,16998,0.019296387810330627
terminated,36,2013,14436,0.015516763646439457
terminated,36,2014,14335,0.015068015347052668
terminated,36,2015,13779,0.016837216053414615
terminated,36,2016,14418,0.013247329726730477
terminated,36,2017,13864,0.01709463358338142
terminated,36,2018,14610,0.017111567419575632
terminated,36,2019,14617,0.017787507696517754
terminated,36,2020,14634,0.016195161951619515
terminated,36,2021,12527,0.016364652350922007
terminated,36,2022,12756,0.02634054562558796
terminated,36,ALL,192377,0.01690430768750942
terminated_default,36,2010,19065,0.0027799632835038028
terminated_default,36,2011,16338,0.0022646590769984085
terminated_default,36,2012,16998,0.002706200729497588
terminated_default,36,2013,14436,0.0014546965918536992
terminated_default,36,2014,14335,0.0015347052668294385
terminated_default,36,2015,13779,0.0015240583496625298
terminated_default,36,2016,14418,0.0011790817034262728
terminated_default,36,2017,13864,0.0015147143681477208
terminated_default,36,2018,14610,0.000889801505817933
terminated_default,36,2019,14617,0.001299856331668605
terminated_default,36,2020,14634,0.001093344266776001
terminated_default,36,2021,12527,0.0008781032968787419
terminated_default,36,2022,12756,0.0010191282533709627
terminated_default,36,ALL,192377,0.0016114192445042808
any_change_order,36,2010,19065,0.24600052452137425
any_change_order,36,2011,16338,0.22744521973313747
any_change_order,36,2012,16998,0.207847982115543
any_change_order,36,2013,14436,0.19444444444444445
any_change_order,36,2014,14335,0.19623299616323683
any_change_order,36,2015,13779,0.19057986791494302
any_change_order,36,2016,14418,0.19038701622971285
any_change_order,36,2017,13864,0.1977784189267167
any_change_order,36,2018,14610,0.1943874058863792
any_change_order,36,2019,14617,0.20510364643907777
any_change_order,36,2020,14634,0.1928385950526172
any_change_order,36,2021,12527,0.19318272531332323
any_change_order,36,2022,12756,0.17505487613671997
any_change_order,36,ALL,192377,0.20264896531290122
