projectid,txturl,http_status,text_bytes,text_sha256,status,cached
P005525,http://documents.worldbank.org/curated/en/433661468756949072/text/multi-page.txt,200,152416,beb6eb7e099166fb5aa54e78007c066d93a2e6cabadfc2747cb8154a173619c8,ok,True
P005524,http://documents.worldbank.org/curated/en/710131468758124444/text/multi-page.txt,200,200291,9ba28c8ebdc1aee267fdd6e3fe0620511d0d0d299f3884b945d698d3935e6bbd,ok,True
P005736,http://documents.worldbank.org/curated/en/179201468760571354/text/multi-page.txt,200,171082,337961a9a69796fce894de13fc63b0bcd8352c77731b2f544c84a3449e7d0b54,ok,True
P005741,http://documents.worldbank.org/curated/en/454481468311360839/text/multi-page.txt,200,161290,3f6775b490628fd56c37aa8171da0184832d74b8239aef3865fac26f78ecb13b,ok,True
P005746,http://documents.worldbank.org/curated/en/173441468777570726/text/multi0page.txt,200,148380,03fecca227bbcc53982c5a847fd811b60cf15213361958cd7065b9a3fc9a827f,ok,True
P005906,http://documents.worldbank.org/curated/en/969301468764101772/text/multi-page.txt,200,284371,1ff8628b1ee2495b05f20d1d011ce8c424dd71de9824242dc1467a8cfa69d129,ok,True
P005750,http://documents.worldbank.org/curated/en/773011468778167522/text/multi0page.txt,200,238312,57c926bae7e08abfcf63b6169974535449527ba897d6177118a6527144c057ef,ok,True
P005907,http://documents.worldbank.org/curated/en/312711468782165600/text/multi-page.txt,200,269739,e56597fe8ea1f9042d661ab5b7d2d2eff525a5f5df3a5a63c356f4bbfd7d00b7,ok,True
P006041,http://documents.worldbank.org/curated/en/324291468741669308/text/multi-page.txt,200,171417,68664cbd6f4f809a634e949e0ceac275d67a0ee431084209d1c6f8e512c933c0,ok,True
P006043,http://documents.worldbank.org/curated/en/271841468768697115/text/multi-page.txt,200,276289,9d3029b126d179177331d70d896696a5176a30609332eca484543203ff178f70,ok,True
P006046,http://documents.worldbank.org/curated/en/146641468741389757/text/multi-page.txt,200,305745,26b35fe313cf6ae2f833966d63e32d974a33593d1feb99cce57f650d7d478444,ok,True
P006050,http://documents.worldbank.org/curated/en/173171468767393073/text/multi-page.txt,200,143072,bd7bfd58bc3a8068066e72a43a553ca7c9d8ad588b5029fe92fed24541899c16,ok,True
P006059,http://documents.worldbank.org/curated/en/413141468742833963/text/multi0page.txt,200,136960,05bc2e339f1812fbcf7fd3c6bab8b8594cfd5c8e95e9c8482529ec30ed14cab2,ok,True
P006058,http://documents.worldbank.org/curated/en/475641468742820285/text/multi-page.txt,200,181011,6f87fa521613f451aa115a299af9d42d9f945f6d23de70a72ea13c0d3cf22418,ok,True
P006204,http://documents.worldbank.org/curated/en/604181468769751133/text/multi-page.txt,200,229654,e0582cac4f32f4a8fc971df7fbb3bcaadd3217e428c980183e005a219939b4a4,ok,True
P006449,http://documents.worldbank.org/curated/en/343171468769763405/text/multi-page.txt,200,238062,816413b8f14d742fc0cc9472cf049316643077b4acb9b4d91978f902ee1cfca1,ok,True
P006475,http://documents.worldbank.org/curated/en/343591468769762775/text/multi0page.txt,200,140236,f0978d8c22e96e5f0c029990468747e0839aa4209c9a38dc9ed3706d62d1922c,ok,True
P006549,http://documents.worldbank.org/curated/en/229381468743798142/text/multi-page.txt,200,345745,5582cbbfbc1abcc7ce9a6ef9203f2289fc348ca796e7c297116dca7cf33aceac,ok,True
P006553,http://documents.worldbank.org/curated/en/469521468016230708/text/474930PAD0P0061B01Official0Use0Only.txt,200,538254,1f3866afa3776d7ee42af9cc83ae91d9366c5caa10870e08d371e9f540f1fc43,ok,True
P006559,http://documents.worldbank.org/curated/en/697091468769465915/text/multi-page.txt,200,144248,275841a59bcf69099bb888d47933a47dd7120505279201d8ef02acdaa4bf5dea,ok,True
P006861,http://documents.worldbank.org/curated/en/256521468746390643/text/multi-page.txt,200,142834,592fdf212ce446cf2615fc194404c9029385b88d32a652a76b26883b7210f0b7,ok,True
P006891,http://documents.worldbank.org/curated/en/638121468744029682/text/multi0page.txt,200,221705,d0f2ed406f1d629bb8dab14ac9858e1d5ac232daacde44a8a9f56dc96f6f1b38,ok,True
P007015,http://documents.worldbank.org/curated/en/485631468746720409/text/multi0page.txt,200,147823,6de97b4d2bbadb35a691d0dbbe21f5a601477935795c8a19655ae105c7c4d533,ok,True
P007223,http://documents.worldbank.org/curated/en/369661468749083495/text/multi0page.txt,200,165457,2f8cb4425131da2d6e6dd20c999c51d25bddaa8d2dafa98e0b7c2917e33770d1,ok,True
P007711,http://documents.worldbank.org/curated/en/331191468774660723/text/multi0page.txt,200,194953,99759d78b77908b2d8a78d506dd93f517899c036dd2de517d256206d13e64510,ok,True
P007397,http://documents.worldbank.org/curated/en/268431468774876424/text/multi0page.txt,200,382190,26b30786a8c909d1b179100b159ad6be0539421a587ae9419d05c9664a971aaa,ok,True
P007837,http://documents.worldbank.org/curated/en/352171468757503511/text/multi0page.txt,200,112509,e15a6f4a2bc9fb35650c5e5e89dbf9a4fb114563a1ab75a9d889172c4255c8b3,ok,True
P007610,http://documents.worldbank.org/curated/en/691011468753263442/text/multi-page.txt,200,303825,6103b5379df5d54dd296095fb6d2a40f9cf4b3232001de7d98d96d8acc5b6389,ok,True
P008276,http://documents.worldbank.org/curated/en/687711468742875560/text/multi-page.txt,200,252010,d3fd69e2da3e4f3c43f281b667b73e2b7852fd53c7f8e4b465f688cf8e5bc7c8,ok,True
P008286,http://documents.worldbank.org/curated/en/239061468742855442/text/25755.txt,200,441940,93207e6bbbd0639879e1c22f85f0d37d4e82eca36eecc98856d84054e15fd5e6,ok,True
P008314,http://documents.worldbank.org/curated/en/282191468770113556/text/231510fixed.txt,200,296404,84e80458707a86fcd45f7cd4349b9740612bff23117485534feb582abf5e0384,ok,True
P008497,http://documents.worldbank.org/curated/en/876291468771123950/text/multi-page.txt,200,204489,3a74cfe64dee5cf947ff5bf5bcb18fe8e1f6890a26bf619fb1f20a3aa5b0d9ae,ok,True
P008499,http://documents.worldbank.org/curated/en/505531468773750475/text/multi-page.txt,200,145105,f5edda33fc004495b98ebb1b99a3b12df353582a9ba3b47decf1913be8a83446,ok,True
P008503,http://documents.worldbank.org/curated/en/814721468752136372/text/multi-page.txt,200,248920,8dd271d3363715a8905229b282d05af27d97d75dd4ce4c241d979468ee793ac9,ok,True
P008500,http://documents.worldbank.org/curated/en/440831468775806854/text/multi-page.txt,200,188941,15537e53129bdf8b33794c10f8dbda8c4f492512da304e1e74505b2a3227b222,ok,True
P008530,http://documents.worldbank.org/curated/en/673331468772443462/text/multi-page.txt,200,276212,e44b3eb3b52b81dc828c166dcf265ec4d1c059ee1ce4dc67a8f7150b93ed4d1b,ok,True
P008615,http://documents.worldbank.org/curated/en/141131468776734717/text/multi-page.txt,200,289883,757e92fd70b8e451450638e9e0aef929f15282ca476d3d359fe6e7eb219cc20d,ok,True
P008616,http://documents.worldbank.org/curated/en/867691468759293134/text/multi-page.txt,200,76249,d66fb4da89a5ffe871089d4d9b36705127241bed10aa139dea89c8bc9c6b8ab4,ok,True
P008783,http://documents.worldbank.org/curated/en/132281468780947660/text/multi0page.txt,200,337859,e7f7b7155391a603256127a6d9609f39530d4e8783dcd72a4b004b7cc46f0bad,ok,True
P008797,http://documents.worldbank.org/curated/en/166201468758984711/text/multi-page.txt,200,313054,d32ba76e9debd6c1dc6df989d86bffce3e980816a9e2aa695e9f77bcff2c41f2,ok,True
P008832,http://documents.worldbank.org/curated/en/155491468759873204/text/multi-page.txt,200,377445,d4c7b8a1d1bb159f6f39dc308b9d56dd81758200cf88564b17e24ef75f63c4d1,ok,True
P008860,http://documents.worldbank.org/curated/en/890301468782071765/text/multi0page.txt,200,258680,23e3d10f4c3a44226820d48c7069cca86e6bcc08cb9a29a6a290991f3894b845,ok,True
P009073,http://documents.worldbank.org/curated/en/577271468760489728/text/multi-page.txt,200,219687,ba7a07b7181b059266321f82868cac74765acca47ed3d2da964bec41b56d6eb7,ok,True
P009089,http://documents.worldbank.org/curated/en/885841468760493837/text/multi0page.txt,200,296548,a280d6d6dd5f605aab9485297f54e80d9a500ffe51aa8c88ea1b960a728da088,ok,True
P009125,http://documents.worldbank.org/curated/en/875551468779137187/text/multi-page.txt,200,314676,e2deb277e0c11ff7a0bf522ecf618465372c0012f904424cf8f216514c38d669,ok,True
P009131,http://documents.worldbank.org/curated/en/271531468761431098/text/multi-page.txt,200,163675,3a750625c11df7b20859a282daae6259614c33e7fc3dd39ad7177286c9245549,ok,True
P009127,http://documents.worldbank.org/curated/en/419551468779118141/text/255421UZ1Drain1Improve1R20031011111.txt,200,496552,e3add6e9aa5f3c2de801c95caa9d2fc2cd0a908c9555850966d4a67c27ce71f8,ok,True
P009468,http://documents.worldbank.org/curated/en/239061468742545356/text/multi-page.txt,200,382969,7fb45e11a395351a3781bc8edae106f6807450c19a104b32849bca077b99d48c,ok,True
P009524,http://documents.worldbank.org/curated/en/345721468768585506/text/multi-page.txt,200,172142,1008fa69bf01cb09a879af9de6cdb4a9be8f01181aa115ec4e75ce8860f081d1,ok,True
P009550,http://documents.worldbank.org/curated/en/858091468743409663/text/multi-page.txt,200,244372,d93271ac2cf2a8849b899aa31c0f67439cf910880a08e8121d67e85e55a4cff8,ok,True
P009574,http://documents.worldbank.org/curated/en/534941468768593094/text/multi-page.txt,200,143916,2af496c85f1e232e1b86cea2c052bb395ef325f35ea1976a65867a6544872691,ok,True
P009972,http://documents.worldbank.org/curated/en/124131468756597853/text/multi-page.txt,200,192676,29db386ce2fd1b6007fc89bf9e96040738f0c2a633e919c7be32a672d2048533,ok,True
P009995,http://documents.worldbank.org/curated/en/617341468771641163/text/multi-page.txt,200,150515,66d37390fa37fffb56bd9d8ebe0ff2d22ccbc46c30ebe1647127e08eab1978fa,ok,True
P010496,http://documents.worldbank.org/curated/en/223181468774894023/text/multi0page.txt,200,261895,7b175630b4473964749e3dacd7bf6da5c4fafabbc2e521f656198ef6697f0b85,ok,True
P010498,http://documents.worldbank.org/curated/en/112601468777039297/text/multi-page.txt,200,178689,e255b3aea45013e43745ae3a4f07b7f5b120c7c0b48fdf3e851d184c9e8745e4,ok,True
P010509,http://documents.worldbank.org/curated/en/868721468756966773/text/multi-page.txt,200,106560,00ffcca6bd9ce25f857090f64620b3d6619972c5c893d23f70ee769068db2412,ok,True
P010505,http://documents.worldbank.org/curated/en/680591468775824645/text/multi-page.txt,200,327507,cf2ca857632be161fb913f54a5acb1833cfdcacd20fed61125d7edadf151ef5c,ok,True
P010511,http://documents.worldbank.org/curated/en/941531468750030165/text/multi0page.txt,200,261100,4d8854ef06f3d9f9710a2a40ba0808393c09080185a55d6e32e6c7529611f6cf,ok,True
P010525,http://documents.worldbank.org/curated/en/387281468759868625/text/multi-page.txt,200,352666,94d8a9610eb22e501d577091d2a579d2d405117ddbb8d4e465f59c4f82322b47,ok,True
P010531,http://documents.worldbank.org/curated/en/672681468772474128/text/multi0page.txt,200,452266,f8da9aec10b422442f95875d0bc5422585189a4ef1c4bd93571745565e1256d3,ok,True
P010556,http://documents.worldbank.org/curated/en/637571468780970318/text/272810PK.txt,200,293454,0eda4aa4e1132fc577450478087235783b19e991eaa628e5550aabeb904d3eb5,ok,True
P010561,http://documents.worldbank.org/curated/en/100691468772758467/text/multi-page.txt,200,255078,a72b0918132e06b52f0601cb0fcac3ffae74ef0cedc4f87fabf11e7e12a6a952,ok,True
P010566,http://documents.worldbank.org/curated/en/276131468772744316/text/multi-page.txt,200,221526,788d29dfc749b875bac51311db5145156a796ae11af69d99caacd569468eb0ee,ok,True
P033965,http://documents.worldbank.org/curated/en/527091468769914275/text/multi-page.txt,200,98272,d3c0c7d3373a19115de1da5dbc21cbba47361b9b0f41513d381b3f755d0f88c1,ok,True
P034038,http://documents.worldbank.org/curated/en/756301468772197635/text/multi0page.txt,200,432907,65847eea48905e5b37c238a0876cc3a331fc485a2a2e9892ecde6da19ee8fa34,ok,True
P034081,http://documents.worldbank.org/curated/en/879701468769148976/text/multi-page.txt,200,524992,ecea22ff8a7160c51ac15bc4f777bf522c921b7e4bc753883bd10c6544031d3d,ok,True
P034212,http://documents.worldbank.org/curated/en/419901468777264672/text/multi-page.txt,200,147003,1dd8c2f2d625f17596ef0f21581cefa96aa7f11a2b6ba91c14a551cb221799a3,ok,True
P034213,http://documents.worldbank.org/curated/en/318511468780942160/text/multi-page.txt,200,114716,d30e0331d8df5773bcab06bbcce685fcc489d196caa154a715d93ed4ec802a40,ok,True
P034609,http://documents.worldbank.org/curated/en/294621468773072222/text/multi0page.txt,200,88680,934d686adcdaba4e129b7691b6dd0ed95f057cbb0aedf3849369709af93b123f,ok,True
P035076,http://documents.worldbank.org/curated/en/884001468764096110/text/multi0page.txt,200,374384,9803cdafcb440ab4d03d04fd679bcb8394a0a832102ea0ca4d6fc259e06ee900,ok,True
P035160,http://documents.worldbank.org/curated/en/543321468752699577/text/multi-page.txt,200,307269,a1364e7f68246848eda1866827a8a90c3a276a9eac70ca6c0072610c73245184,ok,True
P035169,http://documents.worldbank.org/curated/en/824901468752410003/text/multi-page.txt,200,246046,7b3de46a159115ba4ab7775ec4056620304203942b3138cadaf45df488154462,ok,True
P035172,http://documents.worldbank.org/curated/en/149071468771360294/text/multi-page.txt,200,496726,3116fb27e18ee66fa8deb53e1e9e0a50c1bc72427a9b32f592dc461f84324f13,ok,True
P035173,http://documents.worldbank.org/curated/en/478321468782109550/text/multi-page.txt,200,378002,9b2658e43cabfa1ff4aa8b457d0796d27f1a1fcf29a02f46a47baf7ca7a04a6b,ok,True
P008416,http://documents.worldbank.org/curated/en/701521468771549450/text/multi-page.txt,200,54,47f09540894d71ac8dafe9c2a97e9ad1a3090105dca3f9dc661d00aa98234043,too_short,False
P035630,http://documents.worldbank.org/curated/en/251021468756573864/text/multi0page.txt,200,353720,13d813b122b775a8af0534a5a796e7d72c7b1550b75a8b7fe4295fac782ba39e,ok,True
P035643,http://documents.worldbank.org/curated/en/924931468770678556/text/multi-page.txt,200,373751,de33bd40cb11fb3363551efcffcddb1ada67579307f55da73c92ce5a27e21761,ok,True
P035645,http://documents.worldbank.org/curated/en/128201468743813215/text/multi-page.txt,200,97391,98fb28a4edb5c8804598b8d657f5069f0a5e932800e4e61fe18a5fff99576508,ok,True
