projectid,txturl
P035728,http://documents.worldbank.org/curated/en/753561468770405889/text/multi-page.txt
P035730,http://documents.worldbank.org/curated/en/663981468758370772/text/multi0page.txt
P035733,http://documents.worldbank.org/curated/en/109751468770934962/text/multi0page.txt
P035737,http://documents.worldbank.org/curated/en/622541468771079848/text/multi0page.txt
P035740,http://documents.worldbank.org/curated/en/310721468780010210/text/272530PE.txt
P035741,http://documents.worldbank.org/curated/en/561721468743787027/text/multi-page.txt
P035751,http://documents.worldbank.org/curated/en/433201468774564355/text/266440MX.txt
P035752,http://documents.worldbank.org/curated/en/480871468774622429/text/271740MX.txt
P035753,http://documents.worldbank.org/curated/en/428541468775815116/text/multi0page.txt
P035770,http://documents.worldbank.org/curated/en/122111468768674538/text/multi0page.txt
P035775,http://documents.worldbank.org/curated/en/703211468746353081/text/multi-page.txt
P035776,http://documents.worldbank.org/curated/en/386651468757207053/text/multi-page.txt
P035777,http://documents.worldbank.org/curated/en/286051468779357257/text/259201UA1Rural1tre0Dev1r20031011611.txt
P035780,http://documents.worldbank.org/curated/en/968301468757200405/text/multi-page.txt
P035781,http://documents.worldbank.org/curated/en/350151468774544101/text/multi-page.txt
P035786,http://documents.worldbank.org/curated/en/543201468779356487/text/multi0page.txt
P035802,http://documents.worldbank.org/curated/en/274291468757200745/text/multi-page.txt
P035805,http://documents.worldbank.org/curated/en/503111468740424539/text/multi-page.txt
P035807,http://documents.worldbank.org/curated/en/202811468772215633/text/multi0page.txt
P035813,http://documents.worldbank.org/curated/en/741811468742153103/text/multi-page.txt
P035823,http://documents.worldbank.org/curated/en/874021468774971447/text/multi0page.txt
P035824,http://documents.worldbank.org/curated/en/105961468772766058/text/multi-page.txt
P035827,http://documents.worldbank.org/curated/en/205461468752711385/text/multi0page.txt
P035828,http://documents.worldbank.org/curated/en/247891468759866832/text/multi-page.txt
P035917,http://documents.worldbank.org/curated/en/994641468278962596/text/multi0page.txt
P035997,http://documents.worldbank.org/curated/en/867791468752361147/text/multi0page.txt
P036037,http://documents.worldbank.org/curated/en/683871468767433172/text/multi-page.txt
P036038,http://documents.worldbank.org/curated/en/799861468776981137/text/multi0page.txt
P036047,http://documents.worldbank.org/curated/en/106191468774925756/text/multi-page.txt
P036048,http://documents.worldbank.org/curated/en/198261468752343411/text/multi-page.txt
P036049,http://documents.worldbank.org/curated/en/598591468752384772/text/multi0page.txt
P036953,http://documents.worldbank.org/curated/en/303301468769240122/text/multi-page.txt
P036956,http://documents.worldbank.org/curated/en/964411468752384422/text/multi0page.txt
P036977,http://documents.worldbank.org/curated/en/261571468774253536/text/multi0page.txt
P037095,http://documents.worldbank.org/curated/en/716891468756333078/text/multi-page.txt
P037294,http://documents.worldbank.org/curated/en/146261468768701847/text/multi-page.txt
P037339,http://documents.worldbank.org/curated/en/731691468763220932/text/multi-page.txt
P037580,http://documents.worldbank.org/curated/en/629261468769752798/text/multi-page.txt
P037588,http://documents.worldbank.org/curated/en/885541468770515567/text/multi0page.txt
P037835,http://documents.worldbank.org/curated/en/792911468775507792/text/multi-page.txt
P037857,http://documents.worldbank.org/curated/en/275371468743409024/text/multi0page.txt
P038021,http://documents.worldbank.org/curated/en/741511468752769970/text/multi-page.txt
P038090,http://documents.worldbank.org/curated/en/999501468760762244/text/multi0page.txt
P038334,http://documents.worldbank.org/curated/en/290151468752402493/text/multi-page.txt
P038395,http://documents.worldbank.org/curated/en/722791468773691304/text/multi0page.txt
P038551,http://documents.worldbank.org/curated/en/767181468763190714/text/multi0page.txt
P038687,http://documents.worldbank.org/curated/en/610581468757188510/text/multi-page.txt
P038895,http://documents.worldbank.org/curated/en/387971468743396129/text/multi-page.txt
P038947,http://documents.worldbank.org/curated/en/100271468743713169/text/multi-page.txt
P039015,http://documents.worldbank.org/curated/en/608891468779948149/text/multi0page.txt
P039019,http://documents.worldbank.org/curated/en/373621468763225917/text/multi-page.txt
P039022,http://documents.worldbank.org/curated/en/129491468780927187/text/multi-page.txt
P039082,http://documents.worldbank.org/curated/en/353791468770418633/text/multi-page.txt
