projectid,id,docdt,reject_reason
P106768,13806829,2010-07-28T04:00:00Z,same_date_duplicate_or_translation
P106851,9664540,2008-05-02T04:00:00Z,same_date_duplicate_or_translation
P106870,14617324,2010-11-02T04:00:00Z,later_version_within_grace_window
P107050,12796497,2010-04-22T04:00:00Z,same_date_duplicate_or_translation
P108583,10251570,2009-02-03T05:00:00Z,later_version_within_grace_window
P109024,10399730,2008-12-05T05:00:00Z,same_date_duplicate_or_translation
P110050,15947414,2011-11-01T04:00:00Z,same_date_duplicate_or_translation
P110671,14561040,2010-12-09T05:00:00Z,same_date_duplicate_or_translation
P110733,12550133,2010-03-26T04:00:00Z,same_date_duplicate_or_translation
P110752,13720567,2010-10-26T04:00:00Z,later_version_within_grace_window
P111394,13252279,2010-05-31T04:00:00Z,same_date_duplicate_or_translation
P111479,14838565,2010-11-11T05:00:00Z,same_date_duplicate_or_translation
P111661,16355291,2012-02-09T05:00:00Z,same_date_duplicate_or_translation
P111795,14177545,2010-11-05T04:00:00Z,same_date_duplicate_or_translation
P112011,14075733,2011-02-03T05:00:00Z,same_date_duplicate_or_translation
P112073,16706678,2011-06-03T04:00:00Z,same_date_duplicate_or_translation
P112074,17410602,2011-12-13T05:00:00Z,same_date_duplicate_or_translation
P113102,11989804,2009-11-20T05:00:00Z,same_date_duplicate_or_translation
P114294,24982382,2015-03-06T05:00:00Z,same_date_duplicate_or_translation
P114766,12090777,2009-08-07T04:00:00Z,same_date_duplicate_or_translation
P114810,16711429,2012-01-27T05:00:00Z,same_date_duplicate_or_translation
P114971,14581929,2010-10-25T04:00:00Z,same_date_duplicate_or_translation
P116011,13337553,2010-02-09T05:00:00Z,same_date_duplicate_or_translation
P116201,16546919,2012-06-04T04:00:00Z,same_date_duplicate_or_translation
P116230,24768952,2014-05-23T04:00:00Z,same_date_duplicate_or_translation
P116696,11683613,2010-01-07T05:00:00Z,same_date_duplicate_or_translation
P116919,12935060,2010-10-21T04:00:00Z,later_version_within_grace_window
P116974,13994271,2010-12-20T05:00:00Z,same_date_duplicate_or_translation
P117157,15622236,2011-06-09T04:00:00Z,same_date_duplicate_or_translation
P117293,14659281,2011-03-09T05:00:00Z,same_date_duplicate_or_translation
P117310,14784601,2011-01-31T05:00:00Z,same_date_duplicate_or_translation
P117318,18862629,2013-10-23T04:00:00Z,same_date_duplicate_or_translation
P117355,15556415,2011-05-17T04:00:00Z,same_date_duplicate_or_translation
P117363,13197513,2010-11-22T05:00:00Z,same_date_duplicate_or_translation
P117407,19691920,2013-06-03T04:00:00Z,same_date_duplicate_or_translation
P117443,15596726,2011-03-03T05:00:00Z,same_date_duplicate_or_translation
P117444,12857890,2010-05-27T04:00:00Z,same_date_duplicate_or_translation
P117449,25251588,2015-03-20T04:00:00Z,same_date_duplicate_or_translation
P117590,13724740,2010-06-10T04:00:00Z,same_date_duplicate_or_translation
P117608,12876846,2010-05-07T04:00:00Z,same_date_duplicate_or_translation
P117864,14440205,2011-03-21T04:00:00Z,same_date_duplicate_or_translation
P117947,15639500,2011-06-20T04:00:00Z,same_date_duplicate_or_translation
P117949,12485421,2010-03-02T05:00:00Z,same_date_duplicate_or_translation
P118064,17234233,2012-05-30T04:00:00Z,same_date_duplicate_or_translation
P118090,19385190,2012-06-13T04:00:00Z,same_date_duplicate_or_translation
P118213,18405844,2013-08-14T04:00:00Z,same_date_duplicate_or_translation
P118540,14480945,2010-08-03T04:00:00Z,same_date_duplicate_or_translation
P118560,12817880,2010-05-28T04:00:00Z,same_date_duplicate_or_translation
P120139,16282046,2012-02-06T05:00:00Z,same_date_duplicate_or_translation
P120198,14821535,2010-11-17T05:00:00Z,same_date_duplicate_or_translation
P120211,14990726,2010-11-17T05:00:00Z,same_date_duplicate_or_translation
P120523,13816928,2010-09-02T04:00:00Z,same_date_duplicate_or_translation
P120561,19496899,2012-10-22T04:00:00Z,later_version_within_grace_window
P120830,16750880,2012-03-20T04:00:00Z,later_version_within_grace_window
P121116,17197254,2012-08-06T04:00:00Z,same_date_duplicate_or_translation
P121152,17899563,2013-02-20T05:00:00Z,same_date_duplicate_or_translation
P121167,16546323,2012-03-07T05:00:00Z,same_date_duplicate_or_translation
P121195,13634236,2010-10-08T04:00:00Z,same_date_duplicate_or_translation
P121271,24768908,2012-03-20T04:00:00Z,later_version_within_grace_window
P121391,14595906,2010-11-19T05:00:00Z,same_date_duplicate_or_translation
P121492,13977577,2011-02-26T05:00:00Z,later_version_within_grace_window
P121495,17201091,2012-06-19T04:00:00Z,same_date_duplicate_or_translation
P121611,13720489,2010-12-29T05:00:00Z,same_date_duplicate_or_translation
P121648,19734053,2014-03-05T05:00:00Z,same_date_duplicate_or_translation
P121779,14990605,2010-12-23T05:00:00Z,same_date_duplicate_or_translation
P121836,15049541,2011-01-20T05:00:00Z,same_date_duplicate_or_translation
P122007,14581956,2011-03-31T04:00:00Z,later_version_within_grace_window
P122028,15553556,2011-10-13T04:00:00Z,same_date_duplicate_or_translation
P122540,23852211,2014-10-29T04:00:00Z,same_date_duplicate_or_translation
P122594,16732233,2012-03-28T04:00:00Z,same_date_duplicate_or_translation
P123146,17385372,2012-08-24T04:00:00Z,same_date_duplicate_or_translation
P123151,18489854,2012-12-14T05:00:00Z,same_date_duplicate_or_translation
P123367,15812723,2011-10-31T04:00:00Z,same_date_duplicate_or_translation
P123447,16643347,2011-11-10T05:00:00Z,same_date_duplicate_or_translation
P123706,19761948,2013-04-22T04:00:00Z,same_date_duplicate_or_translation
P123760,16222416,2011-12-21T05:00:00Z,same_date_duplicate_or_translation
P123879,19336143,2013-11-15T05:00:00Z,same_date_duplicate_or_translation
P123974,18054992,2013-04-25T04:00:00Z,same_date_duplicate_or_translation
P124134,16234247,2011-10-31T04:00:00Z,same_date_duplicate_or_translation
P124181,16259490,2011-10-17T04:00:00Z,same_date_duplicate_or_translation
P124341,15414390,2011-06-17T04:00:00Z,same_date_duplicate_or_translation
P124761,26088246,2013-04-22T04:00:00Z,same_date_duplicate_or_translation
P125006,14317486,2011-02-17T05:00:00Z,same_date_duplicate_or_translation
P125135,19176414,2013-01-18T05:00:00Z,same_date_duplicate_or_translation
P125151,14867613,2011-03-07T05:00:00Z,same_date_duplicate_or_translation
P125184,23856275,2014-09-04T04:00:00Z,same_date_duplicate_or_translation
P125799,16880346,2012-05-16T04:00:00Z,same_date_duplicate_or_translation
P125803,17277881,2012-10-12T04:00:00Z,same_date_duplicate_or_translation
P125829,17207149,2012-03-01T05:00:00Z,same_date_duplicate_or_translation
P126343,17012993,2012-09-18T04:00:00Z,same_date_duplicate_or_translation
P126357,17394175,2011-12-01T05:00:00Z,later_version_within_grace_window
P126364,15766416,2011-11-10T05:00:00Z,same_date_duplicate_or_translation
P126372,16928540,2012-04-26T04:00:00Z,same_date_duplicate_or_translation
P126408,17286332,2012-08-23T04:00:00Z,same_date_duplicate_or_translation
P126452,18800861,2013-05-20T04:00:00Z,same_date_duplicate_or_translation
P126537,16446400,2011-11-17T05:00:00Z,same_date_duplicate_or_translation
P126586,16432215,2012-04-12T04:00:00Z,same_date_duplicate_or_translation
P126735,19447413,2014-01-09T05:00:00Z,same_date_duplicate_or_translation
P126744,15952387,2011-10-31T04:00:00Z,same_date_duplicate_or_translation
