label,horizon,vehicle,n_holders,oracle_gap,recovered_gap,train_gap,n_test_orders
schedule_slip_gt90,24,SOL|4732|7FCIF8030056B,6,1.0,0.5,0.6666666666666666,29
schedule_slip_gt90,24,SOL|4732|7FCIL3030084B,11,0.6666666666666666,-0.3333333333333333,1.0,102
schedule_slip_gt90,24,SOL|4732|FCISJB980001B,39,1.0,0.02777777777777779,0.8,615
schedule_slip_gt90,24,SOL|4732|FCO00CORP0000C,38,0.7142857142857143,0.08333333333333331,1.0,364
schedule_slip_gt90,24,SOL|4732|FFAHC2990235B,7,1.0,1.0,0.75,123
schedule_slip_gt90,24,SOL|4732|GS00Q13DR0001,21,0.6428571428571428,-0.19999999999999996,0.6666666666666667,263
schedule_slip_gt90,24,SOL|4732|GS00Q13DR0002,20,0.5,0.3571428571428571,0.5384615384615384,153
schedule_slip_gt90,24,SOL|4732|QTA0015MDA2001,42,1.0,0.055555555555555525,0.6666666666666667,206
schedule_slip_gt90,24,SOL|4732|TFTPEW990899B,2,0.0,0.0,0.3333333333333333,9
schedule_slip_gt90,24,SOL|4732|TFTPMC000874B,4,0.26666666666666666,0.09999999999999998,0.475,26
schedule_slip_gt90,24,SOL|4732|TFTPMC990871B,2,0.5,-0.5,0.026086956521739146,20
schedule_slip_gt90,24,SOL|4740|GS07P15HHD0002,3,0.25,0.25,0.5,13
schedule_slip_gt90,24,SOL|7001|HSHQDC12R00005,10,0.4,0.14596273291925466,0.14238042269187987,493
schedule_slip_gt90,24,SOL|7529|NIHJT2010001,11,0.3793103448275862,0.050000000000000044,0.5,107
schedule_slip_gt90,24,SOL|7529|NIHJT2010002,22,0.6666666666666667,-0.5,0.75,142
schedule_slip_gt90,24,SOL|7529|NIHJT2014002,30,0.5063291139240507,0.058333333333333334,0.75,447
schedule_slip_gt90,24,SOL|8000|NNG13451284R,95,0.6666666666666666,-0.1875,0.6666666666666666,7956
schedule_slip_gt90,24,SOL|9700|FA251713R5000,3,0.31060606060606066,-0.31060606060606066,0.11428571428571427,34
schedule_slip_gt90,24,SOL|9700|FA489014R0023,4,0.5555555555555556,0.06818181818181823,0.20000000000000007,30
schedule_slip_gt90,24,SOL|9700|FA520515R0006,3,0.5,0.2,1.0,12
schedule_slip_gt90,24,SOL|9700|FA520911R0004,3,0.6666666666666666,-0.6666666666666666,0.18181818181818182,16
schedule_slip_gt90,24,SOL|9700|FA527014R0019,2,0.2121212121212121,0.2121212121212121,0.09090909090909088,14
schedule_slip_gt90,24,SOL|9700|FA805614R0001,4,0.625,0.3333333333333333,0.41666666666666663,21
schedule_slip_gt90,24,SOL|9700|FA810814R0001,4,0.4,0.1428571428571429,0.6666666666666667,50
schedule_slip_gt90,24,SOL|9700|FA877108R0016,2,0.2,0.2,0.024264078498293512,10
schedule_slip_gt90,24,SOL|9700|FA890315R0038,5,0.6666666666666667,0.3333333333333333,0.33333333333333326,17
schedule_slip_gt90,24,SOL|9700|FA890315R0049,3,0.5,0.5,0.375,13
schedule_slip_gt90,24,SOL|9700|H9222214R0021,4,0.2055555555555556,0.12698412698412703,0.375,41
schedule_slip_gt90,24,SOL|9700|H9222215R0010,3,0.2,0.10344827586206896,0.26666666666666666,39
schedule_slip_gt90,24,SOL|9700|HQ072715R0001,4,0.11538461538461542,0.006890611541774283,0.2575366063738157,165
schedule_slip_gt90,24,SOL|9700|HTC71115RW002,8,0.0,0.0,0.0,78
schedule_slip_gt90,24,SOL|9700|N0002415R4405,2,0.08333333333333334,0.08333333333333334,0.03125,26
schedule_slip_gt90,24,SOL|9700|N0003910R0001,2,0.17857142857142855,-0.17857142857142855,0.08167231136527686,11
schedule_slip_gt90,24,SOL|9700|N0003913R0013,2,0.2,-0.2,0.1111111111111111,20
schedule_slip_gt90,24,SOL|9700|N4008415R0100,2,0.3333333333333333,-0.3333333333333333,0.1333333333333333,6
schedule_slip_gt90,24,SOL|9700|N5523615R0008,4,0.3333333333333333,0.0,0.18181818181818182,29
schedule_slip_gt90,24,SOL|9700|N6247813R4010,2,0.5,-0.5,0.11249999999999999,16
schedule_slip_gt90,24,SOL|9700|N6247815R4029,3,0.75,0.75,0.625,10
schedule_slip_gt90,24,SOL|9700|N6523613R0016,5,0.125,-0.125,0.16666666666666666,83
