variant,label,horizon,key,group,n_train,resid_train,n_test,resid_test,y_test,p_test
shape_office,schedule_slip_gt90,24,recipient_uei,CNLHDPAMNJY7,48,0.14381843262583754,4,-0.03386546856486211,0.25,0.2838654685648621
shape_office,schedule_slip_gt90,24,recipient_uei,CP4NW4REPH28,17,-0.03692448622181468,4,0.47520313495634386,1.0,0.5247968650436562
shape_office,schedule_slip_gt90,24,recipient_uei,CQFZLZMMPWX7,10,-0.015161886663122376,5,-0.039693634236065575,0.2,0.2396936342360656
shape_office,schedule_slip_gt90,24,recipient_uei,CQK9W45PE7D3,29,-0.009705327916119433,5,-0.024689958579676975,0.0,0.024689958579676975
shape_office,schedule_slip_gt90,24,recipient_uei,CQU7PBBTJSQ5,10,0.018903652782654972,4,0.056854673851378545,0.5,0.44314532614862145
shape_office,schedule_slip_gt90,24,recipient_uei,CQWLW9XRQTH5,36,-0.033966317280988256,5,0.2746330645155135,0.8,0.5253669354844865
shape_office,schedule_slip_gt90,24,recipient_uei,CRKJNWWDZKA8,6,-0.11380305309877149,5,0.056771802149508985,0.6,0.543228197850491
shape_office,schedule_slip_gt90,24,recipient_uei,CRWKJZGN3D89,9,0.052251790083060946,6,0.12743734878177584,0.8333333333333334,0.7058959845515576
shape_office,schedule_slip_gt90,24,recipient_uei,CSRFGBYGE7N5,71,-0.0010598964126792496,67,-0.0006080433038347152,0.0,0.0006080433038347152
shape_office,schedule_slip_gt90,24,recipient_uei,CSZST8YFP7K1,12,-0.23978764232879202,3,-0.5076148492077756,0.0,0.5076148492077756
shape_office,schedule_slip_gt90,24,recipient_uei,CT93GMZBKE24,11,-0.04650369877515812,9,-0.08429615412373412,0.4444444444444444,0.5287405985681786
shape_office,schedule_slip_gt90,24,recipient_uei,CTAFMRZ13HV5,16,-0.00016244419809437159,9,-0.00022765501678786626,0.0,0.00022765501678786626
shape_office,schedule_slip_gt90,24,recipient_uei,CUHQY85DMBK6,10,-0.08114478535007379,3,0.35899778887264705,0.6666666666666666,0.3076688777940196
shape_office,schedule_slip_gt90,24,recipient_uei,CURYYJ2K5KM8,13,0.2067030789860267,16,0.13200122099377734,0.3125,0.18049877900622263
shape_office,schedule_slip_gt90,24,recipient_uei,CVT6PBG5LC18,11,0.04097729168476672,5,0.02328613503555016,0.2,0.17671386496444982
shape_office,schedule_slip_gt90,24,recipient_uei,CW7HJMUQB621,23,-0.057640897770264196,25,-0.09654262054224619,0.12,0.21654262054224616
shape_office,schedule_slip_gt90,24,recipient_uei,CWM4UN76ZQW8,44,0.01493572473129134,16,0.12580270750142847,0.625,0.49919729249857153
shape_office,schedule_slip_gt90,24,recipient_uei,CWM5BFBR4LK3,6,-0.2524994699876794,4,0.04086402008821269,0.75,0.7091359799117873
shape_office,schedule_slip_gt90,24,recipient_uei,CWN9UGL3NCL9,11,0.0751246334345237,3,-0.1758094024483056,0.3333333333333333,0.5091427357816389
shape_office,schedule_slip_gt90,24,recipient_uei,CWVJEB454CR7,55,0.023354664331581305,3,0.31343654388562464,1.0,0.6865634561143753
shape_office,schedule_slip_gt90,24,recipient_uei,CX2MM2DAARY6,5,0.1504475295736453,10,0.3832096357012783,0.8,0.4167903642987216
shape_office,schedule_slip_gt90,24,recipient_uei,CXK4W1G8G7T5,14,-0.21941950600721927,4,0.15654434000388717,0.75,0.5934556599961128
shape_office,schedule_slip_gt90,24,recipient_uei,CXWHM8NKAD13,6,0.18869274107610998,3,-0.08594606368319223,0.3333333333333333,0.4192793970165256
shape_office,schedule_slip_gt90,24,recipient_uei,CYKLKH72LLJ5,85,0.02637674050019955,29,0.138382864783148,0.2413793103448276,0.10299644556167958
