forecast,outcome,outcome_label,scale,brier,reliability,resolution,uncertainty,base_rate,n,n_bins,skill_vs_base_rate,decomposition_residual,brier_perfectly_recalibrated
published DCA (climatology rows),worsened_next,Rating worse at the next snapshot,three_point,0.31406432748538016,0.22512138819449132,0.0036971512972884257,0.09264009058817717,0.10331384015594541,513,3,-2.3901556603773595,1.1102230246251565e-16,0.08894293929088874
persistence (previous DCA),worsened_next,Rating worse at the next snapshot,three_point,0.30101149425287355,0.2092373467315996,0.0009725825619602868,0.09274673008323424,0.10344827586206896,435,3,-2.2455213675213677,0.0,0.09177414752127395
published DCA (persistence rows),worsened_next,Rating worse at the next snapshot,three_point,0.32060344827586207,0.23190189405706646,0.004045175864438648,0.09274673008323424,0.10344827586206896,435,3,-2.4567628205128207,0.0,0.0887015542187956
published DCA,worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.33221891534391534,0.18269754302988545,0.01346923545171014,0.16299060776574004,0.20502645502645503,756,4,-1.0382703021845314,0.0,0.1495213723140299
base rate (in sample),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.16299060776574006,0.0,0.0,0.16299060776574004,0.20502645502645503,756,1,-2.220446049250313e-16,2.7755575615628914e-17,0.16299060776574004
climatology (prior snapshots only),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.162439749110879,0.0013790963593438333,0.0010981892050177448,0.16215884195655292,0.20361990950226244,663,7,-0.0017322962530859076,0.0,0.16106065275153517
published DCA (climatology rows),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.33763197586726995,0.18958153993304644,0.014108406022329305,0.16215884195655292,0.20361990950226244,663,4,-1.082106481481481,-1.1102230246251565e-16,0.14805043593422362
persistence (previous DCA),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.3160041841004184,0.1553704040587795,0.0011149638529007874,0.16174874389453966,0.20292887029288703,478,5,-0.9536731877587465,0.0,0.1606337800416389
published DCA (persistence rows),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",five_point,0.32952405857740585,0.18175076257082598,0.013975447887959794,0.16174874389453966,0.20292887029288703,478,4,-1.0372588413561705,0.0,0.14777329600657987
published DCA,worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.2525,0.1467992593990283,0.005846041443376553,0.1115467820443483,0.12790697674418605,602,2,-1.2636242424242425,-5.551115123125783e-17,0.10570074060097175
