publication_slug,publication_year,department_slug,local_path,snapshot_date,n_rows,layout,n_mapped,n_unmapped,date_order,error,snapshot_source,snapshot_crosscheck
dfe-government-major-projects-portfolio-data-2017,2017,dfe,2017/dfe/DfE_Government_Major_Project_Portfolio_data__September_2016__CSV_.csv,2016-09-30,5,transposed,16,0,day_first,,"publication statement (title, filename or body)",
ons-government-major-projects-portfolio-data-2024,2024,ons,2024/ons/ONS_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,3,wide,19,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-cabinet-office-2013,2013,cabinet-office,2013/cabinet-office/gmpp-data-cabinet-office-q2-2012-13.csv,2012-09-30,5,transposed,13,0,day_first,,publication-year table,
dcms-government-major-projects-portfolio-data-2019,2019,dcms,2019/dcms/DCMS_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,5,transposed,15,0,day_first,,"publication statement (title, filename or body)",
fcdo-government-major-projects-portfolio-data-2022,2022,fcdo,2022/fcdo/FCDO_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,5,wide,17,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2018,2018,fco,2018/fco/csv-fco-government-major-project-portfolio-data-september-2017.csv,2017-09-30,2,transposed,14,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2019,2019,co,2019/co/CO_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,7,transposed,15,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2015,2015,fco,2015/fco/FCO_Government_Major_Projects_Portfolio_data__September_2014.csv,2014-09-30,4,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2015,2015,dcms,2015/dcms/DCMS_Government_Major_Projects_Portfolio_data__September_2014__CSV_.csv,2014-09-30,5,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2014,2014,dcms,2014/dcms/DCMS_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,6,transposed,15,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2017,2017,defra,2017/defra/Defra_Government_Major_Project_Portfolio_data__September_2016.csv,2016-09-30,4,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2016,2016,dcms,2016/dcms/DCMS_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,4,transposed,14,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-defra,2014,defra,2014/defra/Government_Major_Project_Portfolio_data__September_2014.csv,2014-09-30,3,transposed,15,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-defra-2015,2015,defra,2015/defra/Government_Major_Project_Portfolio_data__September_2014.csv,2014-09-30,3,transposed,15,0,day_first,,"publication statement (title, filename or body)",
ons-government-major-projects-portfolio-data-2023,2023,ons,2023/ons/ONS_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,2,wide,19,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2020,2020,dfid,2020/dfid/DfID_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,1,transposed,16,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2016,2016,fco,2016/fco/FCO_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,5,transposed,14,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2016,2016,defra,2016/defra/DEFRA_Government_Major_Projects_Portfolio_Data_September_2015.csv,2015-09-30,4,transposed,14,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2014,2014,fco,2014/fco/140327_FCO_Q2_2013-14_Transparency_Data__csv_.csv,2013-09-30,5,transposed,15,0,month_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-dclg-2013,2013,dclg,2013/dclg/gmpp-data-DCLG-q2-2012-13.csv,2012-09-30,4,transposed,13,0,day_first,,publication-year table,
government-major-projects-portfolio-data-for-dcms-2013,2013,dcms,2013/dcms/gmpp-data-DCMS-q2-2012-13.csv,2012-09-30,6,transposed,13,0,day_first,,publication-year table,
dfe-government-major-projects-portfolio-data-2015,2015,dfe,2015/dfe/DfE_Government_Major_Projects_Portfolio_data__September_2014.csv,2014-09-30,3,transposed,15,0,day_first,,"publication statement (title, filename or body)",
