label,split,model,n,base_rate,mean_forecast,brier,bss,auc,log_loss,train_base_rate
days_extended_gt90,test 2021 only (pre-invasion),reference class,4789,0.08122781373982042,0.11589891647878274,0.07535774636689647,0.0023416941760667775,0.6096398107034354,0.28297041369276493,0.11130719778141938
days_extended_gt90,test 2021 only (pre-invasion),"GBM lot, no buyer history",4789,0.08122781373982042,0.10075205046817153,0.06979961274470402,0.07592561142940246,0.7407764664641271,0.25603269698362596,0.11130719778141938
days_extended_gt90,test 2021 only (pre-invasion),"GBM lot, plus buyer history",4789,0.08122781373982042,0.06708674045679562,0.06591490383170591,0.12735512331914922,0.7727725519981304,0.24197234840978915,0.11130719778141938
days_extended_gt90,test 2021 only (pre-invasion),GBM plus the bidder's price,4789,0.08122781373982042,0.0665656493521543,0.06597607017000916,0.12654534451886545,0.7671327997195606,0.24414867842533916,0.11130719778141938
days_extended_gt90,test 2021 only (pre-invasion),GBM plus the bidder's price and history,4789,0.08122781373982042,0.07287404891301792,0.06637507743384215,0.12126290269916251,0.7699193736854405,0.2415026018012876,0.11130719778141938
value_growth_gt10,test 2021 only (pre-invasion),base rate,4810,0.05862785862785863,0.07198468410976389,0.05536903760752451,0.0,0.5,0.22459472422839352,0.07198468410976389
value_growth_gt10,test 2021 only (pre-invasion),reference class,4810,0.05862785862785863,0.07480200692110063,0.054976929372668966,0.00708172386225947,0.6597647733253139,0.21762086548159718,0.07198468410976389
value_growth_gt10,test 2021 only (pre-invasion),"GBM lot, no buyer history",4810,0.05862785862785863,0.07133970995625877,0.05620751105832578,-0.015143363277228428,0.690824076510538,0.2162759304864889,0.07198468410976389
value_growth_gt10,test 2021 only (pre-invasion),"GBM lot, plus buyer history",4810,0.05862785862785863,0.06450146730687614,0.05615760829791567,-0.01424208771661939,0.6929816523820265,0.21757777239844067,0.07198468410976389
value_growth_gt10,test 2021 only (pre-invasion),GBM plus the bidder's price,4810,0.05862785862785863,0.061314503977066975,0.05600018150356429,-0.01139885978357702,0.6715288480815979,0.2208538335708086,0.07198468410976389
value_growth_gt10,test 2021 only (pre-invasion),GBM plus the bidder's price and history,4810,0.05862785862785863,0.05618127182889652,0.05489044530090461,0.008643681149243299,0.6951791688594843,0.21389691177545192,0.07198468410976389
any_change,test 2021 only (pre-invasion),base rate,4810,0.5615384615384615,0.5556112852664575,0.2462481491700387,0.0,0.5,0.6856251856077676,0.5556112852664576
any_change,test 2021 only (pre-invasion),reference class,4810,0.5615384615384615,0.587502241040812,0.2230444402187925,0.09422896793114022,0.6970360625439641,0.6366795939666198,0.5556112852664576
any_change,test 2021 only (pre-invasion),"GBM lot, no buyer history",4810,0.5615384615384615,0.564923871333478,0.20894889723706497,0.151470181841724,0.7375983711843724,0.6125424713569044,0.5556112852664576
any_change,test 2021 only (pre-invasion),"GBM lot, plus buyer history",4810,0.5615384615384615,0.5722514121366692,0.21141677492848784,0.1414482681756084,0.7320102015146736,0.6164866395030837,0.5556112852664576
any_change,test 2021 only (pre-invasion),GBM plus the bidder's price,4810,0.5615384615384615,0.5714865393614655,0.2109598168614946,0.14330394940015123,0.729797140619643,0.6136998501206348,0.5556112852664576
any_change,test 2021 only (pre-invasion),GBM plus the bidder's price and history,4810,0.5615384615384615,0.5695539299225298,0.2135809514767326,0.13265966791388484,0.7273303233668791,0.6217086284992808,0.5556112852664576
underexecuted,test 2021 only (pre-invasion),base rate,4190,0.3133651551312649,0.2525076319232447,0.21887107281183796,0.0,0.5,0.6311209407743439,0.25250763192324466
underexecuted,test 2021 only (pre-invasion),reference class,4190,0.3133651551312649,0.2653189643404839,0.19526724703878606,0.10784351476791065,0.7083522942813252,0.5747106305481934,0.25250763192324466
underexecuted,test 2021 only (pre-invasion),"GBM lot, no buyer history",4190,0.3133651551312649,0.2595317920778273,0.16899796431092787,0.22786523527385316,0.7828128966742828,0.5175009178322088,0.25250763192324466
underexecuted,test 2021 only (pre-invasion),"GBM lot, plus buyer history",4190,0.3133651551312649,0.28318317326747505,0.16868912930151247,0.22927627148548124,0.781110051327584,0.5153698772799361,0.25250763192324466
underexecuted,test 2021 only (pre-invasion),GBM plus the bidder's price,4190,0.3133651551312649,0.27688375593044545,0.16824463180254529,0.2313071360179968,0.7812326191310075,0.513983562914441,0.25250763192324466
underexecuted,test 2021 only (pre-invasion),GBM plus the bidder's price and history,4190,0.3133651551312649,0.28047303015895214,0.16827538870320735,0.231166610820825,0.7797802038967031,0.5139646894008667,0.25250763192324466
