label,model,bin,n,mean_forecast,observed
value_growth_gt10,reference class,6.0,3678,0.09325949054221354,0.054377379010331704
value_growth_gt10,reference class,7.0,3801,0.11227277743000962,0.08208366219415943
value_growth_gt10,reference class,8.0,4156,0.1409414636624163,0.09143407122232916
value_growth_gt10,reference class,9.0,3441,0.20586416922258474,0.16594013368206917
value_growth_gt10,"GBM lot, no buyer history",0.0,3812,0.0015131404267082784,0.0026232948583420775
value_growth_gt10,"GBM lot, no buyer history",1.0,3811,0.005851774922633891,0.005772763054316453
value_growth_gt10,"GBM lot, no buyer history",2.0,3812,0.012623445056747498,0.013116474291710388
value_growth_gt10,"GBM lot, no buyer history",3.0,3810,0.025240193662625962,0.03464566929133858
value_growth_gt10,"GBM lot, no buyer history",4.0,3812,0.03994147870043535,0.04275970619097587
value_growth_gt10,"GBM lot, no buyer history",5.0,3811,0.05573627726976047,0.046969299396483866
value_growth_gt10,"GBM lot, no buyer history",6.0,3811,0.07484988334420926,0.05930202046706901
value_growth_gt10,"GBM lot, no buyer history",7.0,3811,0.10185010739518226,0.07058514825505116
value_growth_gt10,"GBM lot, no buyer history",8.0,3811,0.14474576735765324,0.10049855680923642
value_growth_gt10,"GBM lot, no buyer history",9.0,3812,0.31886434148200055,0.19700944386149002
value_growth_gt10,"GBM lot, plus buyer history",0.0,3812,0.0015891701205113808,0.0026232948583420775
value_growth_gt10,"GBM lot, plus buyer history",1.0,3811,0.005681141175622188,0.007347152978220939
value_growth_gt10,"GBM lot, plus buyer history",2.0,3811,0.011551714250005478,0.02177906061401207
value_growth_gt10,"GBM lot, plus buyer history",3.0,3811,0.02071650051121428,0.0543164523747048
value_growth_gt10,"GBM lot, plus buyer history",4.0,3812,0.03181046409606895,0.047743966421825816
value_growth_gt10,"GBM lot, plus buyer history",5.0,3811,0.04530801102436759,0.04408291786932564
value_growth_gt10,"GBM lot, plus buyer history",6.0,3811,0.06184445193623948,0.05667803726056153
value_growth_gt10,"GBM lot, plus buyer history",7.0,3811,0.08596435321966853,0.07268433482025716
value_growth_gt10,"GBM lot, plus buyer history",8.0,3811,0.1286841801682388,0.09446339543426922
value_growth_gt10,"GBM lot, plus buyer history",9.0,3812,0.27538749826873704,0.17156348373557187
value_growth_gt10,GBM plus the bidder's price,0.0,3812,0.0016241170589428673,0.0026232948583420775
value_growth_gt10,GBM plus the bidder's price,1.0,3811,0.005940150994092047,0.0060351613749672
value_growth_gt10,GBM plus the bidder's price,2.0,3811,0.012131765200157478,0.01600629755969562
value_growth_gt10,GBM plus the bidder's price,3.0,3811,0.0218031285538336,0.0356861716085017
value_growth_gt10,GBM plus the bidder's price,4.0,3812,0.032892758891152445,0.05325288562434417
value_growth_gt10,GBM plus the bidder's price,5.0,3811,0.045919018676298086,0.06559958016268697
value_growth_gt10,GBM plus the bidder's price,6.0,3811,0.0628766060637563,0.06271319863552874
value_growth_gt10,GBM plus the bidder's price,7.0,3811,0.08736024354203117,0.06507478352138546
value_growth_gt10,GBM plus the bidder's price,8.0,3811,0.12876513658643451,0.09288900551036473
value_growth_gt10,GBM plus the bidder's price,9.0,3812,0.2716384808103971,0.17339979013641132
value_growth_gt10,GBM plus the bidder's price and history,0.0,3812,0.0018979184652718032,0.005508919202518363
value_growth_gt10,GBM plus the bidder's price and history,1.0,3811,0.0059369849129053175,0.011545526108632905
value_growth_gt10,GBM plus the bidder's price and history,2.0,3811,0.012122826011984037,0.01784308580425085
value_growth_gt10,GBM plus the bidder's price and history,3.0,3811,0.022018103718107637,0.02309105221726581
value_growth_gt10,GBM plus the bidder's price and history,4.0,3812,0.03397161511720068,0.05010493179433368
value_growth_gt10,GBM plus the bidder's price and history,5.0,3811,0.04755056339644384,0.05169246916819732
value_growth_gt10,GBM plus the bidder's price and history,6.0,3811,0.06493000213327581,0.05615324061926004
value_growth_gt10,GBM plus the bidder's price and history,7.0,3811,0.08930973422026359,0.08003148779847809
value_growth_gt10,GBM plus the bidder's price and history,8.0,3811,0.13077760280278408,0.10574652322225138
value_growth_gt10,GBM plus the bidder's price and history,9.0,3812,0.26688177709556765,0.17156348373557187
any_change,reference class,0.0,3813,0.310875404925883,0.2976658798846053
any_change,reference class,1.0,3847,0.42248055769172166,0.35066285417208215
any_change,reference class,2.0,3904,0.466240324170146,0.413422131147541
any_change,reference class,3.0,3818,0.5111374066384989,0.4316396018858041
any_change,reference class,4.0,4114,0.5635719903048251,0.5267379679144385
any_change,reference class,5.0,3453,0.6176862595009683,0.5708079930495221
any_change,reference class,6.0,3900,0.6789957196941154,0.6858974358974359
any_change,reference class,7.0,3754,0.7404082102859371,0.7402770378263186
any_change,reference class,8.0,3837,0.7839474542448184,0.7657023716445139
any_change,reference class,9.0,3673,0.8431489082959074,0.8042472093656412
any_change,"GBM lot, no buyer history",0.0,3812,0.1642084106543696,0.21222455403987409
any_change,"GBM lot, no buyer history",1.0,3811,0.2795091465739455,0.2928365258462346
any_change,"GBM lot, no buyer history",2.0,3811,0.37048005151570934,0.37654159013382316
any_change,"GBM lot, no buyer history",3.0,3811,0.4574643031604588,0.43531881395959066
any_change,"GBM lot, no buyer history",4.0,3812,0.542553809006007,0.5097061909758657
any_change,"GBM lot, no buyer history",5.0,3811,0.6255581834149957,0.599317764366308
any_change,"GBM lot, no buyer history",6.0,3811,0.7165477270092119,0.6830228286538966
any_change,"GBM lot, no buyer history",7.0,3811,0.8056027394871205,0.762791918131724
any_change,"GBM lot, no buyer history",8.0,3811,0.8855748591229268,0.8186827604303333
any_change,"GBM lot, no buyer history",9.0,3812,0.9495988659570898,0.8798530954879329
any_change,"GBM lot, plus buyer history",0.0,3813,0.16465115515334486,0.22685549436139524
any_change,"GBM lot, plus buyer history",1.0,3810,0.28324746454332755,0.27506561679790026
any_change,"GBM lot, plus buyer history",2.0,3811,0.37882014864171315,0.3739176069273157
any_change,"GBM lot, plus buyer history",3.0,3811,0.47154864986879047,0.43872999212805036
any_change,"GBM lot, plus buyer history",4.0,3812,0.5591798429274228,0.5107555089192025
any_change,"GBM lot, plus buyer history",5.0,3811,0.6417435185987055,0.6011545526108633
any_change,"GBM lot, plus buyer history",6.0,3811,0.7276021272927881,0.6782996588821831
any_change,"GBM lot, plus buyer history",7.0,3811,0.8151684039702108,0.7620047231697717
any_change,"GBM lot, plus buyer history",8.0,3811,0.8909122958868978,0.8239307268433482
any_change,"GBM lot, plus buyer history",9.0,3812,0.9502410589064517,0.8795907660020986
any_change,GBM plus the bidder's price,0.0,3812,0.17096883965047432,0.2166841552990556
any_change,GBM plus the bidder's price,1.0,3811,0.28936222419803237,0.27683022828653897
any_change,GBM plus the bidder's price,2.0,3811,0.37982763979802237,0.3702440304382052
any_change,GBM plus the bidder's price,3.0,3811,0.4666157280165447,0.4400419837313041
