split,label,subset,predictor,n,base_rate,auc,auc_within_buyer,buyers_contributing,auc_within_cpv_year,cpv_year_cells_contributing
test 2021-2022,any_change,all test lots,winner's as-of extension rate,38113,0.5570277857948731,0.49020589014599913,0.4721673400234589,3258,0.506828139681879,88
test 2021-2022,any_change,all test lots,winner's as-of win rate,38113,0.5570277857948731,0.47829399221468505,0.46729831878013817,3258,0.49586339601979657,88
test 2021-2022,any_change,all test lots,winner's price as a share of the expected value,38113,0.5570277857948731,0.48790456074221605,0.4818454320344064,3258,0.46882521250291526,88
test 2021-2022,any_change,all test lots,log lot value,38113,0.5570277857948731,0.6276260260518424,0.6405838655024111,3258,0.6348722955058316,88
test 2021-2022,any_change,winner has 10 or more prior wins,buyer's as-of extension rate,13685,0.622725611983924,0.5867015396638012,0.568097176511346,1246,0.5332640321563145,69
test 2021-2022,any_change,winner has 10 or more prior wins,winner's as-of extension rate,13685,0.622725611983924,0.48251988689037767,0.4676294820717131,1246,0.5014908100458645,69
test 2021-2022,any_change,winner has 10 or more prior wins,winner's as-of win rate,13685,0.622725611983924,0.4332130217432244,0.45123852416421273,1246,0.4809279679800856,69
test 2021-2022,any_change,winner has 10 or more prior wins,winner's price as a share of the expected value,13685,0.622725611983924,0.438330991693782,0.49846267105491077,1246,0.4242492135683961,69
test 2021-2022,any_change,winner has 10 or more prior wins,log lot value,13685,0.622725611983924,0.6279752720317872,0.6394855361164039,1246,0.6155102054952175,69
test 2021-2022,any_change,buyer has 10 or more prior lots,buyer's as-of extension rate,19507,0.5221202645204286,0.5670170131899065,0.5923629430806271,1113,0.5813030303529462,86
test 2021-2022,any_change,buyer has 10 or more prior lots,winner's as-of extension rate,19507,0.5221202645204286,0.4939531139063561,0.4687726796226111,1113,0.5093523558025034,86
test 2021-2022,any_change,buyer has 10 or more prior lots,winner's as-of win rate,19507,0.5221202645204286,0.4900592735319145,0.4678424551015471,1113,0.49830982939219043,86
test 2021-2022,any_change,buyer has 10 or more prior lots,winner's price as a share of the expected value,19507,0.5221202645204286,0.5258132402937841,0.484497217966293,1113,0.48976508452264944,86
test 2021-2022,any_change,buyer has 10 or more prior lots,log lot value,19507,0.5221202645204286,0.629751290674127,0.6422811524416234,1113,0.6417540735288338,86
test 2021-2022,underexecuted,all test lots,buyer's as-of extension rate,33026,0.33479682674256644,0.5491599003163431,0.5052576161233561,2615,0.5407079625743023,85
test 2021-2022,underexecuted,all test lots,winner's as-of extension rate,33026,0.33479682674256644,0.47833541728389317,0.439116946625303,2615,0.5126083771288813,85
test 2021-2022,underexecuted,all test lots,winner's as-of win rate,33026,0.33479682674256644,0.47337016110737046,0.5316375636885287,2615,0.47415439977174206,85
test 2021-2022,underexecuted,all test lots,winner's price as a share of the expected value,33026,0.33479682674256644,0.48371274168288464,0.5436050003886679,2615,0.45990867921110035,85
test 2021-2022,underexecuted,all test lots,log lot value,33026,0.33479682674256644,0.6023171168045571,0.5877011356168159,2615,0.6200278079186392,85
test 2021-2022,underexecuted,winner has 10 or more prior wins,buyer's as-of extension rate,11903,0.396370662858103,0.5841401163402985,0.5455809641532756,1011,0.5295951839839935,63
test 2021-2022,underexecuted,winner has 10 or more prior wins,winner's as-of extension rate,11903,0.396370662858103,0.4826783107263584,0.4331891223733004,1011,0.5279078874708216,63
test 2021-2022,underexecuted,winner has 10 or more prior wins,winner's as-of win rate,11903,0.396370662858103,0.43407089566218066,0.4739493201483313,1011,0.45515000234150305,63
test 2021-2022,underexecuted,winner has 10 or more prior wins,winner's price as a share of the expected value,11903,0.396370662858103,0.44772744369053447,0.5249690976514215,1011,0.4221766109305133,63
test 2021-2022,underexecuted,winner has 10 or more prior wins,log lot value,11903,0.396370662858103,0.6097041254816169,0.6171817058096415,1011,0.58819577605425,63
test 2021-2022,underexecuted,buyer has 10 or more prior lots,buyer's as-of extension rate,17203,0.3145381619484974,0.556482871215402,0.5049355093445643,998,0.56395990642105,83
test 2021-2022,underexecuted,buyer has 10 or more prior lots,winner's as-of extension rate,17203,0.3145381619484974,0.4897133540225487,0.4326138457488813,998,0.5136151201540946,83
test 2021-2022,underexecuted,buyer has 10 or more prior lots,winner's as-of win rate,17203,0.3145381619484974,0.48924942802076377,0.5369485777991112,998,0.49992573668668666,83
test 2021-2022,underexecuted,buyer has 10 or more prior lots,winner's price as a share of the expected value,17203,0.3145381619484974,0.5006803929354421,0.5493667064088072,998,0.46237271644796063,83
test 2021-2022,underexecuted,buyer has 10 or more prior lots,log lot value,17203,0.3145381619484974,0.607574051375822,0.587279160150504,998,0.6261907691777832,83
test 2021 only (pre-invasion),duration_extension,all test lots,buyer's as-of extension rate,29070,0.1021671826625387,0.6965977075996234,0.5973049368011235,908,0.6618681991997464,44
test 2021 only (pre-invasion),duration_extension,all test lots,winner's as-of extension rate,29070,0.1021671826625387,0.5771326547725015,0.4025617322358714,908,0.5683874877347613,44
test 2021 only (pre-invasion),duration_extension,all test lots,winner's as-of win rate,29070,0.1021671826625387,0.4999392842860276,0.5412614886846456,908,0.49333956474086754,44
test 2021 only (pre-invasion),duration_extension,all test lots,winner's price as a share of the expected value,29070,0.1021671826625387,0.5456177483648748,0.608344740537946,908,0.5224700755883059,44
test 2021 only (pre-invasion),duration_extension,all test lots,log lot value,29070,0.1021671826625387,0.7208500780473961,0.6771790723720467,908,0.6944193213478681,44
test 2021 only (pre-invasion),duration_extension,winner has 10 or more prior wins,buyer's as-of extension rate,10005,0.09345327336331834,0.7537250971351757,0.6080153442358167,210,0.6371985801805901,30
test 2021 only (pre-invasion),duration_extension,winner has 10 or more prior wins,winner's as-of extension rate,10005,0.09345327336331834,0.5078167432152775,0.35685443165758124,210,0.5235531699024623,30
test 2021 only (pre-invasion),duration_extension,winner has 10 or more prior wins,winner's as-of win rate,10005,0.09345327336331834,0.5395855172779747,0.4302442963860287,210,0.5025394535610711,30
test 2021 only (pre-invasion),duration_extension,winner has 10 or more prior wins,winner's price as a share of the expected value,10005,0.09345327336331834,0.6545021785400539,0.6810014132848778,210,0.5467808647610041,30
test 2021 only (pre-invasion),duration_extension,winner has 10 or more prior wins,log lot value,10005,0.09345327336331834,0.7298215306970739,0.6780738946093277,210,0.6717251224833671,30
test 2021 only (pre-invasion),duration_extension,buyer has 10 or more prior lots,buyer's as-of extension rate,14737,0.1233629639682432,0.7591659583947403,0.611392283267584,413,0.7108780955617667,42
test 2021 only (pre-invasion),duration_extension,buyer has 10 or more prior lots,winner's as-of extension rate,14737,0.1233629639682432,0.5446081240216288,0.3854709900894833,413,0.5845747482501047,42
test 2021 only (pre-invasion),duration_extension,buyer has 10 or more prior lots,winner's as-of win rate,14737,0.1233629639682432,0.5031343427709131,0.549821995573944,413,0.4851505486184763,42
test 2021 only (pre-invasion),duration_extension,buyer has 10 or more prior lots,winner's price as a share of the expected value,14737,0.1233629639682432,0.5617967787954583,0.6134224959107091,413,0.5227667064466334,42
test 2021 only (pre-invasion),duration_extension,buyer has 10 or more prior lots,log lot value,14737,0.1233629639682432,0.7333733005625046,0.6871740594631002,413,0.7236871146112274,42
test 2021 only (pre-invasion),days_extended_gt90,all test lots,buyer's as-of extension rate,28971,0.08121915018466742,0.6063263846873285,0.579833749759754,683,0.5941702168284395,45
test 2021 only (pre-invasion),days_extended_gt90,all test lots,winner's as-of extension rate,28971,0.08121915018466742,0.5833869932048003,0.47091421615734513,683,0.5569896806637762,45
test 2021 only (pre-invasion),days_extended_gt90,all test lots,winner's as-of win rate,28971,0.08121915018466742,0.5062396065765198,0.5107309885322571,683,0.5064853323696799,45
test 2021 only (pre-invasion),days_extended_gt90,all test lots,winner's price as a share of the expected value,28971,0.08121915018466742,0.5336524271542696,0.5875536549426613,683,0.5124231634787293,45
test 2021 only (pre-invasion),days_extended_gt90,all test lots,log lot value,28971,0.08121915018466742,0.7369712049181639,0.5988772503043116,683,0.736662785996526,45
test 2021 only (pre-invasion),days_extended_gt90,winner has 10 or more prior wins,buyer's as-of extension rate,9963,0.07437518819632641,0.6223823450991892,0.5520468113332702,182,0.523908598136908,28
test 2021 only (pre-invasion),days_extended_gt90,winner has 10 or more prior wins,winner's as-of extension rate,9963,0.07437518819632641,0.552481363142939,0.45740547711551216,182,0.5130403453536304,28
test 2021 only (pre-invasion),days_extended_gt90,winner has 10 or more prior wins,winner's as-of win rate,9963,0.07437518819632641,0.5289885039910722,0.4655074386430399,182,0.5033775844720698,28
